CABINET, PLATE, YES, 145, 3, .021, 0.000, 0.0000, .0061, 0, 0, 1.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 12, 22, 5.74, , N, 3.42, .42, .079, 1
CABINET, BOOK, YES, 145, 2, .014, 0.000, .0330, 0.0000, 2, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 15, 193, 6.09, , N, 1.57, .71, .237, 1
CABLE, TELEVISION, YES, 148, 102, .689, .014, 0.0000, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 19, 50, 6.40, , N, 1.41, .82, .067, 1
CABLE, WIRE, YES, 148, 13, .088, 0.000, .0020, .0012, 1, 1, 1.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 20, 42, 5.81, , N, .63, .42, .012, 1
CABLE, CAR, YES, 148, 5, .034, 0.000, 0.0000, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
CABLE, CORD, YES, 148, 5, .034, 0.000, .0030, .0160, 1, 1, 3.0, 2, 8, 7, 5.40, N, N, .71, .14, .010, 1, 13, 6, 6.93, N, N, 1.31, .39, .029, 1
CABLE, BOX, YES, 148, 2, .014, 0.000, 0.0000, .0011, 0, 1, 1.0, 1, 8, 7, 5.40, N, N, .71, .14, .010, 1, 15, 70, 5.91, N, N, .73, .67, .080, 1
CABLE, HBO, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 8, 7, 5.40, N, N, .71, .14, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CABLE, ROPE, YES, 148, 2, .014, 0.000, .0030, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 21, 15, 6.36, G, N, 1.05, .58, .068, 1
CABLE, UNIT, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 22, 103, 4.33, , N, 1.55, .05, .001, 1
CABOOSE, TRAIN, YES, 165, 119, .721, .051, .0040, .0020, 2, 0, 2.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 19, 82, 5.79, N, N, 2.06, .56, .148, 1
CABOOSE, END, YES, 165, 14, .085, 0.000, .0030, 0.0000, 2, 0, 0.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 8, 410, 3.16, G, N, 1.43, .57, .293, 1
CABOOSE, ENGINE, YES, 165, 8, .048, 0.000, .0140, .0694, 2, 0, 3.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 16, 50, 5.88, , N, 1.21, .50, .026, 1
CABOOSE, CAR, YES, 165, 3, .018, 0.000, .0590, .0085, 2, 0, 2.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
CABOOSE, TAIL, YES, 165, 3, .018, 0.000, 0.0000, .0116, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 17, 24, 6.09, G, N, 1.24, .18, .040, 1
CABOOSE, INDIAN, YES, 165, 2, .012, 0.000, 0.0000, .0017, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 17, 52, 6.18, , N, .36, .50, .118, 1
CABOOSE, LAST, YES, 165, 2, .012, 0.000, 0.0000, .0060, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 8, 676, 2.79, , AJ, .62, .50, .273, 1
CABOOSE, RED, YES, 165, 2, .012, 0.000, .0030, 0.0000, 2, 0, 0.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
CACTUS, PLANT, YES, 140, 45, .321, 0.000, .0020, .0063, 2, 1, 2.0, 1, 15, 0, ¥, , N, 1.29, .14, .029, 1, 14, 125, 5.98, T, N, 1.86, .57, .041, 1
CACTUS, PRICKLY, YES, 140, 27, .193, .137, 0.0000, .0047, 0, 1, 4.0, 4, 15, 0, ¥, , N, 1.29, .14, .029, 1, 18, 2, ¥, , AJ, 1.82, .12, .036, 1
CACTUS, DESERT, YES, 140, 19, .136, .022, 0.0000, .0011, 0, 1, 1.0, 1, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 21, 5.90, N, N, .86, .43, .013, 1
CACTUS, SHARP, YES, 140, 8, .057, 0.000, .0120, .0057, 4, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 18, 72, 4.12, N, AJ, 2.24, .59, .108, 1
CACTUS, SPINE, YES, 140, 6, .043, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 10, 6, 6.22, , N, 1.11, .33, .057, 0
CACTUS, THORN, YES, 140, 6, .043, 0.000, .0110, .0100, 1, 1, 4.0, 4, 15, 0, ¥, , N, 1.29, .14, .029, 1, 16, 3, 6.87, , N, 1.60, .13, .027, 1
CACTUS, FLOWER, YES, 140, 3, .021, 0.000, .0410, .0196, 1, 1, 1.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 21, 23, 5.62, G, N, 1.62, .67, .265, 1
CACTUS, HOT, YES, 140, 3, .021, 0.000, .0070, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 130, 5.03, G, AJ, 1.12, .88, .301, 1
CACTUS, NEEDLE, YES, 140, 3, .021, 0.000, .0060, .0019, 4, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 15, 5.79, , N, 2.12, .88, .433, 1
CACTUS, OUCH, YES, 140, 3, .021, 0.000, .0040, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 7, 0, 3.23, , I, 2.20, 1.00, .036, 1
CACTUS, POINT, YES, 140, 3, .021, 0.000, .0150, .0126, 3, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 24, 395, 4.54, T, N, 1.70, .52, .072, 1
CACTUS, ARIZONA, NO, 140, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 0, ¥, , N, 1.29, .14, .029, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CACTUS, CLUB, YES, 140, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 22, 145, 4.98, N, N, 1.14, .29, .020, 1
CACTUS, GREEN, YES, 140, 2, .014, 0.000, .0820, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 17, 116, 5.46, N, N, 1.19, .94, .142, 1
CACTUS, JUICE, YES, 140, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 10, 11, 6.00, N, N, 1.80, .30, .159, 1
CAFE, COFFEE, YES, 148, 48, .324, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 13, 78, 6.43, , N, 1.08, .46, .214, 1
CAFE, FOOD, YES, 148, 24, .162, 0.000, .0890, .0169, 7, 3, 2.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CAFE, RESTAURANT, YES, 148, 16, .108, .030, .0070, .0830, 1, 3, 4.0, 3, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 12, 41, 6.83, , N, 2.25, .33, .009, 1
CAFE, DINER, YES, 148, 6, .041, .073, .0020, .0776, 1, 3, 5.0, 4, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 12, 0, ¥, , N, 2.64, .18, .007, 1
CAFE, EAT, YES, 148, 6, .041, 0.000, .0910, .0663, 6, 3, 1.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 11, 61, 4.75, , N, 1.20, .70, .181, 1
CAFE, AU LAIT, NO, 148, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, LUNCH, YES, 148, 3, .020, 0.000, .0050, .0412, 4, 3, 4.0, 1, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 17, 33, 5.46, , N, 1.88, .59, .053, 1
CAFE, CAPPUCCINO, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, CORNER, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 22, 134, 6.13, , N, 1.91, .27, .014, 1
CAFE, DINNER, YES, 148, 2, .014, 0.000, .0120, .0208, 3, 3, 3.0, 2, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 5, 91, 5.38, , N, 3.40, .60, .336, 1
CAFE, FRENCH, YES, 148, 2, .014, 0.000, 0.0000, .0031, 0, 3, 1.0, 1, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 17, 139, ¥, , AJ, 1.00, .44, .013, 1
CAFE, HARD ROCK, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, SANDWICH, YES, 148, 2, .014, 0.000, .0010, .0367, 1, 3, 3.0, 2, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 18, 10, 6.37, , N, 2.72, .56, .035, 1
